dataset,fold,method,train_accuracy,test_accuracy,gap,f1,train_time
breast_cancer,0,XGB_default,1.0,0.9561,0.0439,0.9564,0.1915
breast_cancer,0,XGB_tuned,0.9978,0.9912,0.0066,0.9912,0.0296
breast_cancer,0,RF_default,1.0,0.9649,0.0351,0.9651,0.0791
breast_cancer,0,AdaPrune_gap,0.9846,0.9211,0.0636,0.9215,0.6651
breast_cancer,0,AdaPrune_trend,0.9846,0.9211,0.0636,0.9215,0.6016
breast_cancer,0,AdaPrune_data,0.9846,0.9211,0.0636,0.9215,0.6118
breast_cancer,0,AdaPrune_hybrid,0.9846,0.9211,0.0636,0.9215,0.6241
breast_cancer,1,XGB_default,1.0,0.9386,0.0614,0.9377,0.0342
breast_cancer,1,XGB_tuned,0.9978,0.9474,0.0504,0.9471,0.018
breast_cancer,1,RF_default,1.0,0.9386,0.0614,0.9377,0.1266
breast_cancer,1,AdaPrune_gap,0.9846,0.9386,0.046,0.9381,0.6096
breast_cancer,1,AdaPrune_trend,0.9846,0.9386,0.046,0.9381,0.6013
breast_cancer,1,AdaPrune_data,0.9846,0.9386,0.046,0.9381,0.5977
breast_cancer,1,AdaPrune_hybrid,0.9846,0.9386,0.046,0.9381,0.615
breast_cancer,2,XGB_default,1.0,0.9649,0.0351,0.9647,0.0336
breast_cancer,2,XGB_tuned,1.0,0.9737,0.0263,0.9735,0.0207
breast_cancer,2,RF_default,1.0,0.9561,0.0439,0.9558,0.1153
breast_cancer,2,AdaPrune_gap,0.989,0.9123,0.0767,0.9107,0.5996
breast_cancer,2,AdaPrune_trend,0.989,0.9123,0.0767,0.9107,0.5948
breast_cancer,2,AdaPrune_data,0.9934,0.9474,0.046,0.9471,0.5863
breast_cancer,2,AdaPrune_hybrid,0.9934,0.9474,0.046,0.9471,0.5978
breast_cancer,3,XGB_default,1.0,0.9474,0.0526,0.948,0.0327
breast_cancer,3,XGB_tuned,0.9956,0.9649,0.0307,0.9652,0.0214
breast_cancer,3,RF_default,1.0,0.9474,0.0526,0.948,0.1134
breast_cancer,3,AdaPrune_gap,0.9912,0.9474,0.0438,0.9476,0.6366
breast_cancer,3,AdaPrune_trend,0.9912,0.9474,0.0438,0.9476,0.6126
