dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.1424,0.0273,0.0119,0.009,0.0158,0.015,0.0095
bank-marketing,0.095,0.05,0.0233,0.0221,0.032,0.0265,0.0201
credit-default,0.1835,0.0742,0.0227,0.0257,0.0191,0.0093,0.012
credit-g,0.241,0.241,0.235,0.2147,0.1647,0.148,0.1177
diabetes,0.2305,0.2527,0.2566,0.2295,0.1615,0.1123,0.1257
dry-bean,0.0116,0.0174,0.0203,0.0217,0.0174,0.0087,0.013
eeg-eye-state,0.071,0.0598,0.0487,0.0457,0.0594,0.0573,0.04
electricity,0.0919,0.0339,0.0146,0.0169,0.0341,0.0327,0.0202
ionosphere,0.0656,0.0798,0.057,0.0735,0.0592,0.0499,0.0442
kc1,0.1283,0.1312,0.1324,0.0778,0.0645,0.0631,0.0398
letter,0.0371,0.0377,0.0337,0.046,0.0379,0.033,0.0447
magic,0.1198,0.0839,0.0408,0.0387,0.0636,0.0636,0.0234
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phoneme,0.0903,0.0976,0.0792,0.0545,0.0905,0.0944,0.0421
satimage,0.0843,0.079,0.0782,0.0802,0.0835,0.0825,0.0643
segment,0.0208,0.0165,0.016,0.0186,0.0173,0.0143,0.0213
sonar,0.1726,0.1677,0.1199,0.1393,0.1283,0.1149,0.2064
spambase,0.0456,0.0464,0.0423,0.03,0.0373,0.0393,0.0253
tic-tac-toe,0.0491,0.0021,0.0,0.0146,0.0031,0.0,0.0339
vehicle,0.2671,0.2494,0.2459,0.2447,0.2553,0.2562,0.1837
waveform,0.1514,0.1542,0.1524,0.1495,0.1438,0.1494,0.114
Average,0.1095,0.0906,0.0777,0.0739,0.0709,0.0653,0.0572
