dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.1424 ± 0.0033,0.0273 ± 0.0032,0.0119 ± 0.0040,0.0090 ± 0.0042,0.0158 ± 0.0049,0.0150 ± 0.0058,0.0095 ± 0.0042
bank-marketing,0.0950 ± 0.0028,0.0500 ± 0.0036,0.0233 ± 0.0028,0.0221 ± 0.0045,0.0320 ± 0.0032,0.0265 ± 0.0058,0.0201 ± 0.0020
credit-default,0.1835 ± 0.0032,0.0742 ± 0.0037,0.0227 ± 0.0049,0.0257 ± 0.0044,0.0191 ± 0.0044,0.0093 ± 0.0050,0.0120 ± 0.0121
credit-g,0.2410 ± 0.0139,0.2410 ± 0.0147,0.2350 ± 0.0158,0.2147 ± 0.0246,0.1647 ± 0.0155,0.1480 ± 0.0588,0.1177 ± 0.0419
diabetes,0.2305 ± 0.0199,0.2527 ± 0.0225,0.2566 ± 0.0320,0.2295 ± 0.0267,0.1615 ± 0.0097,0.1123 ± 0.0390,0.1257 ± 0.0635
dry-bean,0.0116 ± 0.0189,0.0174 ± 0.0159,0.0203 ± 0.0165,0.0217 ± 0.0222,0.0174 ± 0.0159,0.0087 ± 0.0079,0.0130 ± 0.0297
eeg-eye-state,0.0710 ± 0.0064,0.0598 ± 0.0049,0.0487 ± 0.0090,0.0457 ± 0.0075,0.0594 ± 0.0059,0.0573 ± 0.0051,0.0400 ± 0.0087
electricity,0.0919 ± 0.0029,0.0339 ± 0.0048,0.0146 ± 0.0037,0.0169 ± 0.0049,0.0341 ± 0.0024,0.0327 ± 0.0030,0.0202 ± 0.0041
ionosphere,0.0656 ± 0.0260,0.0798 ± 0.0413,0.0570 ± 0.0144,0.0735 ± 0.0408,0.0592 ± 0.0339,0.0499 ± 0.0190,0.0442 ± 0.0171
kc1,0.1283 ± 0.0077,0.1312 ± 0.0072,0.1324 ± 0.0137,0.0778 ± 0.0170,0.0645 ± 0.0229,0.0631 ± 0.0260,0.0398 ± 0.0283
letter,0.0371 ± 0.0035,0.0377 ± 0.0019,0.0337 ± 0.0021,0.0460 ± 0.0032,0.0379 ± 0.0016,0.0330 ± 0.0017,0.0447 ± 0.0030
magic,0.1198 ± 0.0055,0.0839 ± 0.0066,0.0408 ± 0.0061,0.0387 ± 0.0059,0.0636 ± 0.0034,0.0636 ± 0.0066,0.0234 ± 0.0065
mushroom,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
phoneme,0.0903 ± 0.0056,0.0976 ± 0.0074,0.0792 ± 0.0078,0.0545 ± 0.0093,0.0905 ± 0.0054,0.0944 ± 0.0089,0.0421 ± 0.0096
satimage,0.0843 ± 0.0069,0.0790 ± 0.0027,0.0782 ± 0.0056,0.0802 ± 0.0032,0.0835 ± 0.0033,0.0825 ± 0.0032,0.0643 ± 0.0057
segment,0.0208 ± 0.0019,0.0165 ± 0.0042,0.0160 ± 0.0069,0.0186 ± 0.0045,0.0173 ± 0.0043,0.0143 ± 0.0066,0.0213 ± 0.0066
sonar,0.1726 ± 0.0530,0.1677 ± 0.0683,0.1199 ± 0.0668,0.1393 ± 0.0484,0.1283 ± 0.0871,0.1149 ± 0.0969,0.2064 ± 0.0669
spambase,0.0456 ± 0.0068,0.0464 ± 0.0059,0.0423 ± 0.0063,0.0300 ± 0.0065,0.0373 ± 0.0052,0.0393 ± 0.0050,0.0253 ± 0.0059
tic-tac-toe,0.0491 ± 0.0255,0.0021 ± 0.0029,0.0000 ± 0.0000,0.0146 ± 0.0140,0.0031 ± 0.0047,0.0000 ± 0.0000,0.0339 ± 0.0238
vehicle,0.2671 ± 0.0198,0.2494 ± 0.0238,0.2459 ± 0.0304,0.2447 ± 0.0210,0.2553 ± 0.0137,0.2562 ± 0.0269,0.1837 ± 0.0520
waveform,0.1514 ± 0.0176,0.1542 ± 0.0194,0.1524 ± 0.0147,0.1495 ± 0.0159,0.1437 ± 0.0174,0.1494 ± 0.0125,0.1139 ± 0.0206
Average,0.1095 ± 0.0120,0.0906 ± 0.0126,0.0777 ± 0.0126,0.0739 ± 0.0138,0.0709 ± 0.0126,0.0653 ± 0.0164,0.0572 ± 0.0196
