dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.8575,0.8726,0.8731,0.8739,0.8751,0.8742,0.8729
bank-marketing,0.905,0.9062,0.9083,0.9088,0.9079,0.9093,0.9072
credit-default,0.8159,0.8126,0.8204,0.8196,0.8199,0.8213,0.819
credit-g,0.759,0.759,0.765,0.754,0.766,0.769,0.745
diabetes,0.7695,0.7473,0.7434,0.7422,0.763,0.7721,0.7265
dry-bean,0.9884,0.9826,0.9797,0.9768,0.9826,0.9913,0.9739
eeg-eye-state,0.929,0.9336,0.9055,0.8929,0.9328,0.9406,0.8759
electricity,0.9081,0.9071,0.8822,0.8712,0.9063,0.9143,0.8884
ionosphere,0.9344,0.9202,0.943,0.9258,0.9401,0.9487,0.9145
kc1,0.8611,0.8559,0.8502,0.8592,0.8544,0.8582,0.8535
letter,0.9629,0.9623,0.9663,0.9448,0.9621,0.967,0.9326
magic,0.8801,0.8821,0.8813,0.8794,0.8831,0.8834,0.8784
mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoneme,0.9097,0.8969,0.8964,0.8912,0.8988,0.9004,0.8788
satimage,0.9157,0.921,0.9218,0.9148,0.9159,0.9174,0.907
segment,0.9792,0.9835,0.984,0.9814,0.9827,0.9857,0.9753
sonar,0.8274,0.8323,0.8801,0.8607,0.8705,0.8851,0.7599
spambase,0.9539,0.9513,0.9565,0.9489,0.9537,0.9559,0.9509
tic-tac-toe,0.9509,0.9979,1.0,0.9854,0.9969,1.0,0.9583
vehicle,0.7329,0.7506,0.7541,0.7553,0.7447,0.7423,0.7223
waveform,0.8486,0.8458,0.8476,0.8496,0.8548,0.8506,0.8426
Average,0.89,0.8915,0.8933,0.8874,0.8958,0.8994,0.8754
