dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.8575 ± 0.0033,0.8726 ± 0.0026,0.8731 ± 0.0029,0.8739 ± 0.0033,0.8751 ± 0.0035,0.8742 ± 0.0025,0.8729 ± 0.0027
bank-marketing,0.9050 ± 0.0028,0.9062 ± 0.0027,0.9083 ± 0.0024,0.9088 ± 0.0036,0.9079 ± 0.0033,0.9093 ± 0.0026,0.9072 ± 0.0033
credit-default,0.8159 ± 0.0032,0.8126 ± 0.0034,0.8204 ± 0.0034,0.8196 ± 0.0034,0.8199 ± 0.0040,0.8213 ± 0.0031,0.8190 ± 0.0042
credit-g,0.7590 ± 0.0139,0.7590 ± 0.0147,0.7650 ± 0.0158,0.7540 ± 0.0253,0.7660 ± 0.0238,0.7690 ± 0.0225,0.7450 ± 0.0203
diabetes,0.7695 ± 0.0199,0.7473 ± 0.0225,0.7434 ± 0.0320,0.7422 ± 0.0249,0.7630 ± 0.0107,0.7721 ± 0.0277,0.7265 ± 0.0282
dry-bean,0.9884 ± 0.0189,0.9826 ± 0.0159,0.9797 ± 0.0165,0.9768 ± 0.0220,0.9826 ± 0.0159,0.9913 ± 0.0079,0.9739 ± 0.0279
eeg-eye-state,0.9290 ± 0.0064,0.9336 ± 0.0043,0.9055 ± 0.0096,0.8929 ± 0.0077,0.9328 ± 0.0055,0.9406 ± 0.0049,0.8759 ± 0.0168
electricity,0.9081 ± 0.0029,0.9071 ± 0.0056,0.8822 ± 0.0020,0.8712 ± 0.0029,0.9063 ± 0.0031,0.9143 ± 0.0020,0.8884 ± 0.0108
ionosphere,0.9344 ± 0.0260,0.9202 ± 0.0413,0.9430 ± 0.0144,0.9258 ± 0.0398,0.9401 ± 0.0342,0.9487 ± 0.0217,0.9145 ± 0.0177
kc1,0.8611 ± 0.0064,0.8559 ± 0.0062,0.8502 ± 0.0137,0.8592 ± 0.0139,0.8544 ± 0.0052,0.8582 ± 0.0103,0.8535 ± 0.0107
letter,0.9629 ± 0.0035,0.9623 ± 0.0019,0.9663 ± 0.0021,0.9448 ± 0.0032,0.9621 ± 0.0016,0.9669 ± 0.0017,0.9326 ± 0.0027
magic,0.8801 ± 0.0056,0.8821 ± 0.0050,0.8813 ± 0.0049,0.8794 ± 0.0045,0.8831 ± 0.0045,0.8834 ± 0.0053,0.8784 ± 0.0043
mushroom,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
phoneme,0.9097 ± 0.0056,0.8969 ± 0.0070,0.8964 ± 0.0069,0.8912 ± 0.0089,0.8988 ± 0.0064,0.9004 ± 0.0084,0.8788 ± 0.0079
satimage,0.9157 ± 0.0070,0.9210 ± 0.0027,0.9218 ± 0.0056,0.9148 ± 0.0033,0.9159 ± 0.0040,0.9174 ± 0.0032,0.9070 ± 0.0064
segment,0.9792 ± 0.0019,0.9835 ± 0.0042,0.9840 ± 0.0069,0.9814 ± 0.0045,0.9827 ± 0.0043,0.9857 ± 0.0066,0.9753 ± 0.0068
sonar,0.8274 ± 0.0530,0.8323 ± 0.0683,0.8801 ± 0.0668,0.8607 ± 0.0484,0.8705 ± 0.0897,0.8851 ± 0.0969,0.7599 ± 0.0596
spambase,0.9539 ± 0.0069,0.9513 ± 0.0058,0.9565 ± 0.0062,0.9489 ± 0.0051,0.9537 ± 0.0042,0.9559 ± 0.0059,0.9509 ± 0.0034
tic-tac-toe,0.9509 ± 0.0255,0.9979 ± 0.0029,1.0000 ± 0.0000,0.9854 ± 0.0140,0.9969 ± 0.0047,1.0000 ± 0.0000,0.9583 ± 0.0252
vehicle,0.7329 ± 0.0198,0.7506 ± 0.0238,0.7541 ± 0.0304,0.7553 ± 0.0210,0.7447 ± 0.0137,0.7423 ± 0.0266,0.7223 ± 0.0388
waveform,0.8486 ± 0.0176,0.8458 ± 0.0194,0.8476 ± 0.0147,0.8496 ± 0.0162,0.8548 ± 0.0174,0.8506 ± 0.0124,0.8426 ± 0.0146
Average,0.8900 ± 0.0119,0.8915 ± 0.0124,0.8933 ± 0.0122,0.8874 ± 0.0131,0.8958 ± 0.0124,0.8994 ± 0.0130,0.8754 ± 0.0149
