dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.853,0.869,0.8688,0.8693,0.8711,0.8702,0.8683
bank-marketing,0.896,0.9009,0.9024,0.9025,0.9021,0.9036,0.9
credit-default,0.7962,0.7925,0.7999,0.7991,0.7982,0.8001,0.7947
credit-g,0.7372,0.7496,0.7556,0.7436,0.7508,0.7538,0.7215
diabetes,0.765,0.744,0.7415,0.7389,0.7573,0.7687,0.704
dry-bean,0.9885,0.9827,0.9796,0.9766,0.9827,0.9912,0.9741
eeg-eye-state,0.9288,0.9336,0.9053,0.8926,0.9327,0.9405,0.8754
electricity,0.9079,0.9071,0.8821,0.871,0.9062,0.9143,0.8883
ionosphere,0.9341,0.9191,0.9424,0.9246,0.9396,0.948,0.9132
kc1,0.842,0.84,0.8344,0.8362,0.8264,0.8263,0.8103
letter,0.9629,0.9623,0.9664,0.9449,0.9622,0.967,0.9327
magic,0.8781,0.8804,0.8792,0.877,0.8811,0.8816,0.8758
mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoneme,0.9092,0.8968,0.8962,0.8912,0.8985,0.9001,0.8783
satimage,0.9132,0.9196,0.9206,0.9132,0.9143,0.9161,0.9047
segment,0.9792,0.9836,0.984,0.9814,0.9827,0.9857,0.9754
sonar,0.8247,0.8313,0.8794,0.8595,0.8698,0.8845,0.7553
spambase,0.9538,0.9513,0.9565,0.9488,0.9536,0.9559,0.9508
tic-tac-toe,0.9497,0.9979,1.0,0.9853,0.9969,1.0,0.9576
vehicle,0.7251,0.7485,0.7522,0.7528,0.7409,0.7374,0.7131
waveform,0.8479,0.8454,0.8472,0.8493,0.8545,0.8502,0.8424
Average,0.8854,0.8884,0.8902,0.8837,0.8915,0.895,0.8684
