dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.8530 ± 0.0035,0.8690 ± 0.0024,0.8688 ± 0.0029,0.8693 ± 0.0033,0.8711 ± 0.0034,0.8702 ± 0.0023,0.8683 ± 0.0027
bank-marketing,0.8960 ± 0.0026,0.9009 ± 0.0023,0.9024 ± 0.0019,0.9025 ± 0.0032,0.9021 ± 0.0034,0.9036 ± 0.0025,0.9000 ± 0.0035
credit-default,0.7962 ± 0.0033,0.7925 ± 0.0031,0.7999 ± 0.0035,0.7991 ± 0.0037,0.7982 ± 0.0044,0.8001 ± 0.0032,0.7947 ± 0.0035
credit-g,0.7372 ± 0.0169,0.7496 ± 0.0153,0.7556 ± 0.0151,0.7436 ± 0.0263,0.7508 ± 0.0284,0.7538 ± 0.0279,0.7215 ± 0.0301
diabetes,0.7650 ± 0.0201,0.7440 ± 0.0243,0.7415 ± 0.0323,0.7389 ± 0.0266,0.7573 ± 0.0116,0.7687 ± 0.0278,0.7040 ± 0.0427
dry-bean,0.9885 ± 0.0187,0.9827 ± 0.0157,0.9796 ± 0.0166,0.9766 ± 0.0220,0.9827 ± 0.0157,0.9912 ± 0.0080,0.9741 ± 0.0276
eeg-eye-state,0.9288 ± 0.0064,0.9336 ± 0.0043,0.9053 ± 0.0096,0.8926 ± 0.0077,0.9327 ± 0.0056,0.9405 ± 0.0049,0.8754 ± 0.0169
electricity,0.9079 ± 0.0029,0.9071 ± 0.0056,0.8821 ± 0.0019,0.8710 ± 0.0028,0.9062 ± 0.0031,0.9143 ± 0.0021,0.8883 ± 0.0108
ionosphere,0.9341 ± 0.0258,0.9191 ± 0.0419,0.9424 ± 0.0146,0.9246 ± 0.0410,0.9396 ± 0.0341,0.9480 ± 0.0220,0.9132 ± 0.0190
kc1,0.8420 ± 0.0102,0.8400 ± 0.0077,0.8344 ± 0.0105,0.8362 ± 0.0192,0.8264 ± 0.0107,0.8263 ± 0.0177,0.8103 ± 0.0306
letter,0.9629 ± 0.0035,0.9623 ± 0.0019,0.9664 ± 0.0020,0.9449 ± 0.0032,0.9622 ± 0.0015,0.9670 ± 0.0016,0.9327 ± 0.0027
magic,0.8781 ± 0.0057,0.8804 ± 0.0052,0.8792 ± 0.0048,0.8770 ± 0.0046,0.8811 ± 0.0047,0.8816 ± 0.0053,0.8758 ± 0.0043
mushroom,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
phoneme,0.9092 ± 0.0051,0.8968 ± 0.0067,0.8962 ± 0.0067,0.8912 ± 0.0086,0.8985 ± 0.0067,0.9001 ± 0.0085,0.8783 ± 0.0078
satimage,0.9132 ± 0.0072,0.9196 ± 0.0028,0.9206 ± 0.0050,0.9132 ± 0.0038,0.9143 ± 0.0045,0.9161 ± 0.0027,0.9047 ± 0.0066
segment,0.9792 ± 0.0019,0.9836 ± 0.0041,0.9840 ± 0.0069,0.9814 ± 0.0044,0.9827 ± 0.0042,0.9857 ± 0.0066,0.9754 ± 0.0067
sonar,0.8247 ± 0.0533,0.8313 ± 0.0680,0.8794 ± 0.0673,0.8595 ± 0.0489,0.8698 ± 0.0896,0.8845 ± 0.0977,0.7553 ± 0.0618
spambase,0.9538 ± 0.0070,0.9513 ± 0.0059,0.9565 ± 0.0062,0.9488 ± 0.0052,0.9536 ± 0.0043,0.9559 ± 0.0059,0.9508 ± 0.0034
tic-tac-toe,0.9497 ± 0.0266,0.9979 ± 0.0029,1.0000 ± 0.0000,0.9853 ± 0.0142,0.9969 ± 0.0046,1.0000 ± 0.0000,0.9576 ± 0.0260
vehicle,0.7251 ± 0.0225,0.7485 ± 0.0248,0.7522 ± 0.0318,0.7528 ± 0.0210,0.7409 ± 0.0140,0.7374 ± 0.0308,0.7131 ± 0.0424
waveform,0.8479 ± 0.0174,0.8454 ± 0.0194,0.8472 ± 0.0148,0.8493 ± 0.0163,0.8545 ± 0.0175,0.8502 ± 0.0125,0.8424 ± 0.0146
Average,0.8854 ± 0.0124,0.8884 ± 0.0126,0.8902 ± 0.0121,0.8837 ± 0.0136,0.8915 ± 0.0130,0.8950 ± 0.0138,0.8684 ± 0.0173
