dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.2696,0.0974,0.5884,0.0734,0.1956,0.1791,0.2466
bank-marketing,0.2711,0.0724,0.1061,0.073,0.1746,0.1682,0.3036
credit-default,0.3666,0.0886,0.094,0.0873,0.1005,0.0869,0.262
credit-g,0.1316,0.0336,0.0497,0.0301,0.0341,0.0354,0.0767
diabetes,0.1323,0.0298,0.0319,0.0236,0.0245,0.0187,0.0358
dry-bean,0.1266,0.0311,0.0504,0.0306,0.0718,0.0685,0.0414
eeg-eye-state,0.2074,0.0592,0.0597,0.0602,0.2256,0.1775,0.2247
electricity,0.3021,0.0694,0.0894,0.0697,0.2617,0.2515,0.3379
ionosphere,0.1274,0.0297,0.0257,0.0286,0.051,0.0251,0.0663
kc1,0.1346,0.0419,0.0574,0.0351,0.0482,0.0399,0.1111
letter,0.2273,1.1244,1.9708,1.1482,3.5601,2.8574,1.835
magic,0.3708,0.0744,0.076,0.0815,0.2361,0.1584,0.1947
mushroom,0.1633,0.0293,0.0554,0.0311,0.1184,0.1035,0.1389
phoneme,0.1788,0.0476,0.0551,0.0443,0.167,0.1145,0.0864
satimage,0.1828,0.3175,0.3807,0.3381,0.6001,0.3271,0.4915
segment,0.1461,0.1536,0.3571,0.2042,0.4702,0.345,0.3124
sonar,0.1316,0.0312,0.0168,0.028,0.0815,0.0257,0.076
spambase,0.1595,0.0812,0.1063,0.0823,0.2213,0.1325,0.2383
tic-tac-toe,0.1394,0.0254,0.0371,0.0245,0.0865,0.1055,0.0599
vehicle,0.1378,0.0948,0.1754,0.0998,0.143,0.1143,0.1229
waveform,0.1919,0.3515,0.2285,0.3583,0.5253,0.2295,0.3846
Average,0.1952,0.1373,0.2196,0.1406,0.3522,0.265,0.2689
