dataset,RF_default,XGB_default,LGBM_default,XGB_tuned,XGB_early_stop,LGBM_early_stop,AdaPrune
adult,0.2696 ± 0.0068,0.0974 ± 0.0535,0.5884 ± 1.0746,0.0734 ± 0.0057,0.1956 ± 0.0255,0.1791 ± 0.0245,0.2466 ± 0.0293
bank-marketing,0.2711 ± 0.0070,0.0724 ± 0.0031,0.1061 ± 0.0023,0.0730 ± 0.0044,0.1746 ± 0.0121,0.1682 ± 0.0396,0.3036 ± 0.0781
credit-default,0.3666 ± 0.0122,0.0886 ± 0.0017,0.0940 ± 0.0041,0.0873 ± 0.0032,0.1005 ± 0.0129,0.0869 ± 0.0083,0.2620 ± 0.0526
credit-g,0.1316 ± 0.0039,0.0336 ± 0.0039,0.0497 ± 0.0023,0.0301 ± 0.0027,0.0341 ± 0.0074,0.0354 ± 0.0080,0.0767 ± 0.0046
diabetes,0.1323 ± 0.0057,0.0298 ± 0.0025,0.0319 ± 0.0031,0.0236 ± 0.0020,0.0245 ± 0.0032,0.0187 ± 0.0014,0.0358 ± 0.0092
dry-bean,0.1266 ± 0.0040,0.0311 ± 0.0077,0.0504 ± 0.0027,0.0306 ± 0.0021,0.0718 ± 0.0233,0.0685 ± 0.0247,0.0414 ± 0.0140
eeg-eye-state,0.2074 ± 0.0119,0.0592 ± 0.0027,0.0597 ± 0.0012,0.0602 ± 0.0040,0.2256 ± 0.0069,0.1775 ± 0.0056,0.2247 ± 0.0411
electricity,0.3021 ± 0.0028,0.0694 ± 0.0045,0.0894 ± 0.0087,0.0697 ± 0.0055,0.2617 ± 0.0138,0.2515 ± 0.0179,0.3379 ± 0.0309
ionosphere,0.1274 ± 0.0040,0.0297 ± 0.0040,0.0257 ± 0.0009,0.0286 ± 0.0044,0.0510 ± 0.0197,0.0251 ± 0.0075,0.0663 ± 0.0050
kc1,0.1346 ± 0.0023,0.0419 ± 0.0035,0.0574 ± 0.0019,0.0351 ± 0.0022,0.0482 ± 0.0111,0.0399 ± 0.0044,0.1111 ± 0.0158
letter,0.2273 ± 0.0076,1.1244 ± 0.0275,1.9708 ± 0.1034,1.1482 ± 0.0573,3.5601 ± 0.1617,2.8574 ± 0.2707,1.8350 ± 0.0741
magic,0.3708 ± 0.0060,0.0744 ± 0.0064,0.0760 ± 0.0029,0.0815 ± 0.0039,0.2361 ± 0.0458,0.1584 ± 0.0193,0.1947 ± 0.0327
mushroom,0.1633 ± 0.0037,0.0293 ± 0.0018,0.0554 ± 0.0017,0.0311 ± 0.0021,0.1184 ± 0.0037,0.1035 ± 0.0034,0.1389 ± 0.0083
phoneme,0.1788 ± 0.0139,0.0476 ± 0.0025,0.0551 ± 0.0030,0.0443 ± 0.0048,0.1670 ± 0.0080,0.1145 ± 0.0097,0.0864 ± 0.0214
satimage,0.1828 ± 0.0058,0.3175 ± 0.0107,0.3807 ± 0.0166,0.3381 ± 0.0119,0.6001 ± 0.0686,0.3271 ± 0.0278,0.4915 ± 0.0417
segment,0.1461 ± 0.0041,0.1536 ± 0.0081,0.3571 ± 0.0068,0.2042 ± 0.0094,0.4702 ± 0.0294,0.3450 ± 0.0345,0.3124 ± 0.0351
sonar,0.1316 ± 0.0067,0.0312 ± 0.0048,0.0168 ± 0.0011,0.0280 ± 0.0029,0.0815 ± 0.0304,0.0257 ± 0.0071,0.0760 ± 0.0090
spambase,0.1595 ± 0.0026,0.0812 ± 0.0032,0.1063 ± 0.0028,0.0823 ± 0.0029,0.2213 ± 0.0335,0.1325 ± 0.0147,0.2383 ± 0.0136
tic-tac-toe,0.1394 ± 0.0063,0.0254 ± 0.0026,0.0371 ± 0.0026,0.0245 ± 0.0027,0.0865 ± 0.0117,0.1055 ± 0.0047,0.0599 ± 0.0124
vehicle,0.1378 ± 0.0015,0.0948 ± 0.0118,0.1754 ± 0.0027,0.0998 ± 0.0019,0.1430 ± 0.0166,0.1143 ± 0.0045,0.1229 ± 0.0305
waveform,0.1919 ± 0.0045,0.3515 ± 0.0147,0.2285 ± 0.0035,0.3583 ± 0.0127,0.5253 ± 0.0305,0.2295 ± 0.0120,0.3846 ± 0.0409
Average,0.1952 ± 0.0059,0.1373 ± 0.0086,0.2196 ± 0.0595,0.1406 ± 0.0071,0.3522 ± 0.0274,0.2650 ± 0.0262,0.2689 ± 0.0286
