dataset,fold,method,accuracy,f1,auc,train_time
adult,0,AdaPrune_hybrid,0.8646739686764254,0.859241511034634,,7.16700553894043
adult,0,AdaPrune_gap,0.8656976149042891,0.8606003893579536,,7.179491758346558
adult,0,AdaPrune_trend,0.8669259903777254,0.8619803127017086,,7.236747741699219
adult,0,AdaPrune_dataaware,0.8644692394308527,0.8592717469427077,,7.483347654342651
adult,0,XGB_default,0.8673354488688709,0.8635931904119727,,0.14647221565246582
adult,0,XGB_tuned,0.8696898351929573,0.8660019554685593,,0.09411430358886719
adult,0,LGBM_default,0.8694851059473846,0.8651284369331889,,1.713029146194458
adult,0,RF_default,0.8566895280990889,0.8526998184275492,,2.499069929122925
adult,0,RF_tuned,0.8588391851776026,0.8503854644001781,,1.6175525188446045
adult,1,AdaPrune_hybrid,0.878288463507012,0.8733903294495289,,7.418104887008667
adult,1,AdaPrune_gap,0.8795168389804484,0.8749560019042025,,7.291378021240234
adult,1,AdaPrune_trend,0.8802333913399529,0.8756641599142095,,7.277953386306763
adult,1,AdaPrune_dataaware,0.8803357559627393,0.8756635370173457,,7.219676971435547
adult,1,XGB_default,0.8760364418057119,0.8723207873289961,,0.09575009346008301
adult,1,XGB_tuned,0.8746033370867028,0.8709848645401835,,0.08808708190917969
adult,1,LGBM_default,0.8765482649196438,0.8724391883382915,,0.1107175350189209
adult,1,RF_default,0.8597604667826799,0.8554649555919814,,2.4520809650421143
adult,1,RF_tuned,0.8662094380182209,0.8578607480712394,,1.585120677947998
adult,2,AdaPrune_hybrid,0.8788902538902539,0.8741101783359393,,7.412367582321167
adult,2,AdaPrune_gap,0.8788902538902539,0.8742787486925763,,7.368403673171997
adult,2,AdaPrune_trend,0.879914004914005,0.875459919666477,,7.360827922821045
adult,2,AdaPrune_dataaware,0.878992628992629,0.8743730434144223,,7.3536696434021
adult,2,XGB_default,0.8724406224406225,0.8687455194278098,,0.12104249000549316
adult,2,XGB_tuned,0.8688574938574939,0.8649731317286404,,0.10542631149291992
adult,2,LGBM_default,0.8713144963144963,0.8670899539330416,,0.11625552177429199
adult,2,RF_default,0.8612817362817363,0.8568861007922355,,2.482194423675537
adult,2,RF_tuned,0.8639434889434889,0.85642966425119,,1.5889251232147217
