dataset,fold,method,accuracy,f1,roc_auc,train_time
adult,0,RF_default,0.8566895280990889,0.6772706316274781,0.9031459544720468,0.2769308090209961
adult,0,XGB_default,0.8696898351929573,0.7066144272873934,0.9239618116555401,0.18184208869934082
adult,0,XGB_tuned,0.8687685535878801,0.7000467945718297,0.9247555698914184,0.0714101791381836
adult,0,LGBM_default,0.8694851059473846,0.7020331853236738,0.9259631725648421,1.592820644378662
adult,0,AdaPrune_gap,0.8670283550005118,0.6922530206112296,0.91949065131747,14.006962537765503
adult,0,AdaPrune_trend,0.8670283550005118,0.6922530206112296,0.91949065131747,13.925764083862305
adult,0,AdaPrune_data,0.8670283550005118,0.6922530206112296,0.91949065131747,13.920747518539429
adult,0,AdaPrune_hybrid,0.8670283550005118,0.6922530206112296,0.91949065131747,13.875614881515503
adult,1,RF_default,0.8597604667826799,0.6819870009285051,0.9083792159610649,0.2657442092895508
adult,1,XGB_default,0.8754222540689938,0.7173054587688734,0.9266389362114343,0.07876896858215332
adult,1,XGB_tuned,0.8765482649196438,0.7159679698539803,0.9276487108832109,0.07192254066467285
adult,1,LGBM_default,0.8765482649196438,0.7182242990654205,0.9285758605633188,0.1035165786743164
adult,1,AdaPrune_gap,0.8730678677449074,0.7051830718021873,0.9227082486506313,13.85198712348938
adult,1,AdaPrune_trend,0.8730678677449074,0.7051830718021873,0.9227082486506313,13.771987676620483
adult,1,AdaPrune_data,0.8730678677449074,0.7051830718021873,0.9227082486506313,13.762510538101196
adult,1,AdaPrune_hybrid,0.8730678677449074,0.7051830718021873,0.9227082486506313,14.031744241714478
adult,2,RF_default,0.8612817362817363,0.6845168800931315,0.9099172665228129,0.28256964683532715
adult,2,XGB_default,0.8721334971334971,0.7122782768947247,0.9280602481353628,0.0890810489654541
adult,2,XGB_tuned,0.8726453726453727,0.7067421027817068,0.9279840370806657,0.07121133804321289
adult,2,LGBM_default,0.8713144963144963,0.7065141256128882,0.9287047454755191,0.11221480369567871
adult,2,AdaPrune_gap,0.8696764946764947,0.6965435041716329,0.9239215876637019,13.937160015106201
adult,2,AdaPrune_trend,0.8696764946764947,0.6965435041716329,0.9239215876637019,13.92098879814148
adult,2,AdaPrune_data,0.8696764946764947,0.6965435041716329,0.9239215876637019,13.820842027664185
adult,2,AdaPrune_hybrid,0.8696764946764947,0.6965435041716329,0.9239215876637019,13.844913244247437
adult,3,RF_default,0.857084357084357,0.6736792893875643,0.9055132061636576,0.27230191230773926
adult,3,XGB_default,0.8752047502047502,0.7159170356560243,0.9306564625045354,0.0783240795135498
adult,3,XGB_tuned,0.8768427518427518,0.7147261086080152,0.9311126923393409,0.06911706924438477
adult,3,LGBM_default,0.8754095004095004,0.7137144201364385,0.9305571894721986,0.10461640357971191
adult,3,AdaPrune_gap,0.8709049959049959,0.6951897510273145,0.9231527399097803,13.907685041427612
adult,3,AdaPrune_trend,0.8709049959049959,0.6951897510273145,0.9231527399097803,13.839608192443848
adult,3,AdaPrune_data,0.8709049959049959,0.6951897510273145,0.9231527399097803,13.838428974151611
adult,3,AdaPrune_hybrid,0.8709049959049959,0.6951897510273145,0.9231527399097803,13.820705652236938
adult,4,RF_default,0.8525798525798526,0.6640223985067663,0.9059941678820991,0.2597470283508301
adult,4,XGB_default,0.8705978705978706,0.7103574702108157,0.9280704691117201,0.07284832000732422
adult,4,XGB_tuned,0.8748976248976249,0.7120640904806786,0.9288758244657006,0.07173800468444824
adult,4,LGBM_default,0.8725429975429976,0.710128055878929,0.9289080709263204,0.10583257675170898
adult,4,AdaPrune_gap,0.8647624897624898,0.6879281833215214,0.9223939115918367,13.952638149261475
adult,4,AdaPrune_trend,0.8647624897624898,0.6879281833215214,0.9223939115918367,13.913735389709473
adult,4,AdaPrune_data,0.8647624897624898,0.6879281833215214,0.9223939115918367,13.886866807937622
adult,4,AdaPrune_hybrid,0.8647624897624898,0.6879281833215214,0.9223939115918367,13.896133184432983
bank-marketing,0,RF_default,0.9052305650779608,0.5166384658770445,0.9304990571878036,0.2719578742980957
bank-marketing,0,XGB_default,0.9068893066460245,0.5511727078891258,0.9331390497068581,0.08278536796569824
bank-marketing,0,XGB_tuned,0.9108702864093774,0.5590809628008753,0.9374333728292533,0.08272767066955566
bank-marketing,0,LGBM_default,0.9112020347229901,0.5638240086909289,0.9383076491483915,0.10611248016357422
bank-marketing,0,AdaPrune_gap,0.9091009620701095,0.5566343042071198,0.9348931657064936,15.771446943283081
bank-marketing,0,AdaPrune_trend,0.9091009620701095,0.5566343042071198,0.9348931657064936,15.669958353042603
bank-marketing,0,AdaPrune_data,0.9091009620701095,0.5566343042071198,0.9348931657064936,15.665772914886475
bank-marketing,0,AdaPrune_hybrid,0.9091009620701095,0.5566343042071198,0.9348931657064936,15.699594259262085
bank-marketing,1,RF_default,0.90278699402787,0.49800114220445457,0.9292884778638282,0.265397310256958
bank-marketing,1,XGB_default,0.9062154390621544,0.5426105717367853,0.9327850410152906,0.08648324012756348
bank-marketing,1,XGB_tuned,0.9051094890510949,0.5342019543973942,0.935877167987043,0.07562732696533203
bank-marketing,1,LGBM_default,0.9075425790754258,0.5490830636461704,0.9377252405023848,0.11072850227355957
bank-marketing,1,AdaPrune_gap,0.9037823490378235,0.5230263157894737,0.9294754414764201,15.917377710342407
bank-marketing,1,AdaPrune_trend,0.9037823490378235,0.5230263157894737,0.9294754414764201,15.745709657669067
bank-marketing,1,AdaPrune_data,0.9037823490378235,0.5230263157894737,0.9294754414764201,15.588208675384521
bank-marketing,1,AdaPrune_hybrid,0.9037823490378235,0.5230263157894737,0.9294754414764201,15.814785242080688
bank-marketing,2,RF_default,0.9045565140455651,0.511601584606678,0.9242346933943502,0.286806583404541
bank-marketing,2,XGB_default,0.9030081840300819,0.5396325459317586,0.9261363582552629,0.09688782691955566
bank-marketing,2,XGB_tuned,0.9061048440610484,0.5418240690771722,0.9294811267146769,0.08790206909179688
bank-marketing,2,LGBM_default,0.9059942490599425,0.5545073375262054,0.9324359967572194,0.11565446853637695
bank-marketing,2,AdaPrune_gap,0.9031187790311878,0.5330490405117271,0.9278031488307428,15.681140184402466
bank-marketing,2,AdaPrune_trend,0.9031187790311878,0.5330490405117271,0.9278031488307428,16.034940481185913
