dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
adult,0,RF_default,0.8566895280990889,0.9998208481560157,0.14313132005692675,0.8526998184275492,0.903145983251215,0.24525809288024902
adult,0,XGB_default,0.8696898351929573,0.9004939472269854,0.03080411203402811,0.8660740438603581,0.9239618116555401,0.1603991985321045
adult,0,XGB_tuned,0.8687685535878801,0.8842935019066874,0.015524948318807352,0.8643250166955547,0.9247555698914184,0.06370997428894043
adult,0,LGBM_default,0.8694851059473846,0.8860338341053925,0.016548728158007897,0.8651284369331889,0.9259631725648421,1.5964255332946777
adult,0,AdaPrune_gap,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,13.020252227783203
adult,0,AdaPrune_trend,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,12.992068529129028
adult,0,AdaPrune_data,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,15.123089790344238
adult,0,AdaPrune_hybrid,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,15.20323371887207
adult,1,RF_default,0.8597604667826799,0.999872034397154,0.14011156761447408,0.8554649555919814,0.9083792159610649,0.2589383125305176
adult,1,XGB_default,0.8754222540689938,0.8984720907020193,0.02304983663302551,0.871571316561192,0.9266389362114343,0.07336950302124023
adult,1,XGB_tuned,0.8765482649196438,0.8817341898497684,0.005185924930124597,0.8720328629527175,0.9276487108832109,0.07062315940856934
adult,1,LGBM_default,0.8765482649196438,0.8832185908427814,0.006670325923137654,0.8724391883382915,0.9285758605633188,0.10317587852478027
adult,1,AdaPrune_gap,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,15.418488264083862
adult,1,AdaPrune_trend,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,17.12941598892212
adult,1,AdaPrune_data,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,15.828832864761353
adult,1,AdaPrune_hybrid,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,13.106659650802612
adult,2,RF_default,0.8612817362817363,0.9999488150688437,0.13866707878710738,0.8568861007922355,0.9099172665228129,0.2458651065826416
adult,2,XGB_default,0.8721334971334971,0.8998054972616062,0.02767200012810911,0.8686302534125684,0.9280602481353628,0.05994272232055664
adult,2,XGB_tuned,0.8726453726453727,0.8830168398423505,0.01037146719697779,0.8679592073137979,0.9279840370806657,0.06326532363891602
adult,2,LGBM_default,0.8713144963144963,0.8853969391411168,0.014082442826620523,0.8670899539330416,0.9287047454755191,0.09950780868530273
adult,2,AdaPrune_gap,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,16.808128118515015
adult,2,AdaPrune_trend,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,16.759211778640747
adult,2,AdaPrune_data,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,17.19617533683777
adult,2,AdaPrune_hybrid,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,16.08030343055725
adult,3,RF_default,0.857084357084357,0.9998720376721093,0.14278768058775226,0.8523243356655651,0.9055132061636576,0.2869110107421875
adult,3,XGB_default,0.8752047502047502,0.900342939038747,0.025138188833996766,0.871202966362693,0.9306564625045354,0.07670140266418457
adult,3,XGB_tuned,0.8768427518427518,0.8827609151865691,0.005918163343817229,0.8720064501286533,0.9311126923393409,0.07123804092407227
adult,3,LGBM_default,0.8754095004095004,0.8844500179147259,0.009040517505225498,0.8709347199740732,0.9305571894721986,0.10565519332885742
adult,3,AdaPrune_gap,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,17.460464477539062
adult,3,AdaPrune_trend,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,17.212371826171875
adult,3,AdaPrune_data,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,17.553852796554565
adult,3,AdaPrune_hybrid,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,17.451931715011597
adult,4,RF_default,0.8525798525798526,0.9999232226032656,0.14734337002341302,0.8477824563713046,0.9059941678820991,0.264404296875
adult,4,XGB_default,0.8705978705978706,0.9003941239699033,0.02979625337203262,0.8673237785783618,0.9280704691117201,0.07752227783203125
adult,4,XGB_tuned,0.8748976248976249,0.8830168398423505,0.008119214944725561,0.870318863466858,0.9288758244657006,0.08322620391845703
adult,4,LGBM_default,0.8725429975429976,0.8854993090034294,0.012956311460431857,0.868504203310947,0.9289080709263204,0.1115109920501709
adult,4,AdaPrune_gap,0.8647624897624898,0.8789988227465834,0.014236332984093547,0.8596665001434304,0.9223939115918367,17.523085117340088
adult,4,AdaPrune_trend,0.8647624897624898,0.8789988227465834,0.014236332984093547,0.8596665001434304,0.9223939115918367,17.585713863372803
adult,4,AdaPrune_data,0.8647624897624898,0.8789988227465834,0.014236332984093547,0.8596665001434304,0.9223939115918367,17.86090612411499
adult,4,AdaPrune_hybrid,0.8647624897624898,0.8789988227465834,0.014236332984093547,0.8596665001434304,0.9223939115918367,16.59897541999817
bank-marketing,0,RF_default,0.9052305650779608,0.999944702499447,0.09471413742148616,0.8970599594244382,0.9304990571878036,0.2617151737213135
bank-marketing,0,XGB_default,0.9068893066460245,0.9562596770625967,0.04937037041657222,0.9016226821116843,0.9331390497068581,0.07857155799865723
bank-marketing,0,XGB_tuned,0.9108702864093774,0.9294956867949569,0.01862540038557947,0.9046385650906883,0.9374333728292533,0.08995389938354492
bank-marketing,0,LGBM_default,0.9112020347229901,0.9318458305684583,0.02064379584546816,0.905321520278003,0.9383076491483915,0.11223816871643066
bank-marketing,0,AdaPrune_gap,0.9091009620701095,0.929274496792745,0.0201735347226355,0.9034118132061306,0.9348931657064936,17.508191347122192
bank-marketing,0,AdaPrune_trend,0.9091009620701095,0.929274496792745,0.0201735347226355,0.9034118132061306,0.9348931657064936,17.808270931243896
bank-marketing,0,AdaPrune_data,0.9091009620701095,0.929274496792745,0.0201735347226355,0.9034118132061306,0.9348931657064936,17.47831964492798
bank-marketing,0,AdaPrune_hybrid,0.9091009620701095,0.929274496792745,0.0201735347226355,0.9034118132061306,0.9348931657064936,17.339612245559692
bank-marketing,1,RF_default,0.90278699402787,0.9999723520141558,0.0971853579862858,0.893790651395659,0.9292884778638282,0.26007938385009766
bank-marketing,1,XGB_default,0.9062154390621544,0.9565373662528684,0.050321927190714044,0.900390592142586,0.9327850410152906,0.08689427375793457
bank-marketing,1,XGB_tuned,0.9051094890510949,0.9327048024551411,0.027595313404046196,0.8988980095888485,0.935877167987043,0.07764673233032227
bank-marketing,1,LGBM_default,0.9075425790754258,0.9322900826674777,0.02474750359205191,0.9018001592349077,0.9377252405023848,0.11686038970947266
bank-marketing,1,AdaPrune_gap,0.9037823490378235,0.9297188199839642,0.02593647094614071,0.8969914972763214,0.9294754414764201,17.197673082351685
bank-marketing,1,AdaPrune_trend,0.9037823490378235,0.9297188199839642,0.02593647094614071,0.8969914972763214,0.9294754414764201,17.083035945892334
bank-marketing,1,AdaPrune_data,0.9037823490378235,0.9297188199839642,0.02593647094614071,0.8969914972763214,0.9294754414764201,17.14309334754944
bank-marketing,1,AdaPrune_hybrid,0.9037823490378235,0.9297188199839642,0.02593647094614071,0.8969914972763214,0.9294754414764201,17.0421621799469
bank-marketing,2,RF_default,0.9045565140455651,1.0,0.09544348595443486,0.8961517049278246,0.9242346933943502,0.2595791816711426
